id,created_at,conversation_id,text,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1.4997334184222474e+18,2022-03-04T13:08:05.000Z,1.4997334184222474e+18,"Vigo System, a teraz już Vigo Photonics wstrzymuje sprzedaż produktów do Rosji 🥲

#wojna #StandWithUkraine️ https://t.co/Ri5l0tHtkv",1.072465056229716e+18,0,0,1,0
1.499733404543238e+18,2022-03-04T13:08:01.000Z,1.499733404543238e+18,"Nadzwyczajny #NATO Minister Spraw Zagranicznych poświęcony w całości rosyjskiej 🇷🇺 niesprowokowanej, nieuzasadnionej i brutalnej inwazji na #Ukrainę 🇺🇦

 #StandWithUkraine️ #StrongerTogether #ForMin https://t.co/CbC9419yYK",1.396601124468179e+18,0,0,2,0
1.4997329981026017e+18,2022-03-04T13:06:25.000Z,1.4997329981026017e+18,"W pracy piszemy materiał o planowanych ulgach podatkowych dla osób pomagających Ukraińcom. Poprosiłem o zmianę w treści z ""na Ukrainie"" na ""w Ukrainie"", tak jak wolą Ukraińcy. Dla nich ""na"" brzmi jakby to był region a nie Państwo. 
Starajmy się to respektować
#StandWithUkraine️",2854416892.0,0,0,1,0
1.4997329173161656e+18,2022-03-04T13:06:05.000Z,1.4997329173161656e+18,"Piękna. Ulica. Grafika też.Warszawa.
#StandWithUkraine️ https://t.co/Ew80VGUzuz",1978424448.0,1,0,6,0
1.4997328923055268e+18,2022-03-04T13:05:59.000Z,1.4997328923055268e+18,"RT @YourPolandAnon: odkąd #Anonymous wypowiedzieli wojnę #Putin zhakowali ponad 2500 stron rosyjskiego i białoruskiego rządu ,państwowych m…",1.4980217887893996e+18,48,0,0,0
1.4997326991578767e+18,2022-03-04T13:05:13.000Z,1.4997326991578767e+18,"RT @mrtdanielewicz: W poniedziałek spotkałam się z rodzinami z Ukrainy, które już dotarły do Poznania i powoli próbują się tu zadomowić. W…",2397769277.0,1,0,0,0
1.499732335775957e+18,2022-03-04T13:03:47.000Z,1.499732335775957e+18,"RT @kalwak15: Atak #Rosji na #Czarnobyl to tak, jak nakierowanie rakiety z głowicą jądrową na cel. 
Atak Rosji na elektrownię jądrową w #Za…",9.909184602082222e+17,1,0,0,0
1.499729039745069e+18,2022-03-04T12:50:41.000Z,1.499729039745069e+18,"Atak #Rosji na #Czarnobyl to tak, jak nakierowanie rakiety z głowicą jądrową na cel. 
Atak Rosji na elektrownię jądrową w #Zaporożu to wystrzelenie na oślep rakiety dalekiego zasięgu z głowicą atomową. Która przypadkowo nie wybuchła. 
Rosja zaatakowała w tym momencie Ziemię!",3668363002.0,1,1,2,0
1.499733004297642e+18,2022-03-04T13:06:26.000Z,1.499733004297642e+18,"RT @fakenews_pl: Jeszcze raz polecamy naszą nitkę związaną z paniką wokół Czarnobylskiej Elektrowni Jądrowej sprzed kilku dni. #lugola 
htt…",1.3204404484276756e+18,2,0,0,0
1.499731479013831e+18,2022-03-04T13:00:22.000Z,1.4997314720177723e+18,"Jeszcze raz polecamy naszą nitkę związaną z paniką wokół Czarnobylskiej Elektrowni Jądrowej sprzed kilku dni. #lugola 
https://t.co/b6I0NasUJH",1.1765674050799247e+18,2,1,4,0
